Image Name,Ingredients,Instructions
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_11.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_12.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_13.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_14.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_15.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_16.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_17.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_18.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_19.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_20.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_21.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_22.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_23.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_24.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_25.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_26.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_27.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_28.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_29.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_30.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_31.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_32.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_33.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_34.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_35.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_36.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_37.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_38.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_39.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_40.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
C:\Users\Anjel\Downloads\Filipino_Dishes_Images\Menudo\Menudo_image_41.jpg,1 kg pork (cubed); 1/4 lb pig liver (cubed); 1 potato (diced); 1 carrot (cubed); 1 can tomato sauce (8 oz); 3 calamansi (or lime); 1 onion (minced); 5 cloves garlic (minced); 3 hotdogs (sliced); 4 bay leaves; 1 Knorr Pork Cube; soy sauce; sugar; salt; pepper; cooking oil,"Marinate pork with soy sauce and calamansi for 30 minutes. Sauté onion and garlic in oil. Add marinated pork and cook until browned. Add tomato sauce, water, Knorr Pork Cube, and simmer until pork is tender. Add liver, hotdogs, potato, and carrot, then cook for 8-10 minutes. Season with sugar, salt, and pepper."
